Company Name,Website,Country,Region,Industry,Source
KCB Group,https://kcbgroup.com,Kenya,Nairobi,Banking,Verified list
Co-operative Bank of Kenya,https://co-opbank.co.ke,Kenya,Nairobi,Banking,Verified list
Absa Bank Kenya,https://absabank.co.ke,Kenya,Nairobi,Banking,Verified list
NCBA Group,https://ncbagroup.com,Kenya,Nairobi,Banking,Verified list
Family Bank Kenya,https://familybank.co.ke,Kenya,Nairobi,Banking,Verified list
Britam Holdings,https://britam.com,Kenya,Nairobi,Insurance / Financial services,Verified list
JamboPay,https://jambopay.com,Kenya,Nairobi,Fintech / Payments,Verified list
Kopo Kopo,https://kopokopo.co.ke,Kenya,Nairobi,Fintech / Payments,Verified list
Tala Kenya,https://tala.co.ke,Kenya,Nairobi,Fintech / Lending,Verified list
Branch International,https://branch.co.ke,Kenya,Nairobi,Fintech / Lending,Verified list
M-KOPA,https://m-kopa.com,Kenya,Nairobi,Fintech / Asset financing,Verified list
SunCulture,https://sunculture.com,Kenya,Nairobi,Agritech / Hardware + data,Verified list
Poa Internet,https://poa.co.ke,Kenya,Nairobi,Internet service provider,Verified list
Liquid Intelligent Technologies,https://liquid.tech,Kenya,Nairobi,Telecom / Cloud infrastructure,Verified list
Telkom Kenya,https://telkom.co.ke,Kenya,Nairobi,Telecommunications,Verified list
Savannah Informatics,https://savannahinformatics.com,Kenya,Nairobi,Healthtech / Health data,Verified list
Zeraki,https://zeraki.com,Kenya,Nairobi,Edtech / School data analytics,Verified list
Moringa School,https://moringaschool.com,Kenya,Nairobi,Edtech / Developer training,Verified list
Techno Brain Group,https://techno-brain.com,Kenya,Nairobi,IT services / Consultancy,Verified list
Seven Seas Technologies,https://seven.co.ke,Kenya,Nairobi,IT services / Systems integration,Verified list
University of Nairobi,https://uonbi.ac.ke,Kenya,Nairobi,University / Research,Verified list
Strathmore University,https://strathmore.edu,Kenya,Nairobi,University / Research,Verified list
Kenyatta University,https://ku.ac.ke,Kenya,Nairobi,University / Research,Verified list
JKUAT,https://jkuat.ac.ke,Kenya,Nairobi,University / Engineering and IT,Verified list
United States International University Africa,https://usiu.ac.ke,Kenya,Nairobi,University / Research,Verified list
Daystar University,https://daystar.ac.ke,Kenya,Nairobi,University / Research,Verified list
KEMRI,https://kemri.go.ke,Kenya,Nairobi,Medical research / Health data,Verified list
International Livestock Research Institute,https://ilri.org,Kenya,Nairobi,Agricultural research / Data science,Verified list
CGIAR,https://cgiar.org,Kenya,Nairobi,Agricultural research / Data science,Verified list
Deloitte East Africa,https://deloitte.com,Kenya,Nairobi,Professional services / Technology consulting,Verified list
KPMG East Africa,https://kpmg.com,Kenya,Nairobi,Professional services / Technology consulting,Verified list
PwC Kenya,https://pwc.com,Kenya,Nairobi,Professional services / Technology consulting,Verified list
