Company Name,Website,Country,Region,Industry,Source
World Food Programme,https://wfp.org,Kenya,Nairobi,UN agency / Humanitarian data,Curated sector list
World Health Organization,https://who.int,Kenya,Nairobi,UN agency / Health data,Curated sector list
World Bank,https://worldbank.org,Kenya,Nairobi,International finance / Development data,Curated sector list
Kenya Red Cross Society,https://redcross.or.ke,Kenya,Nairobi,Humanitarian / Emergency data systems,Curated sector list
Amref Health Africa,https://amref.org,Kenya,Nairobi,Health NGO / Health informatics,Curated sector list
PATH,https://path.org,Kenya,Nairobi,Global health NGO / Health data,Curated sector list
Population Services International,https://psi.org,Kenya,Nairobi,Global health NGO / M&E,Curated sector list
CARE International,https://care.org,Kenya,Nairobi,Humanitarian NGO / M&E,Curated sector list
Oxfam,https://oxfam.org,Kenya,Nairobi,Humanitarian NGO / Research,Curated sector list
ActionAid,https://actionaid.org,Kenya,Nairobi,Development NGO / M&E,Curated sector list
Mercy Corps,https://mercycorps.org,Kenya,Nairobi,Humanitarian NGO / Data and evidence,Curated sector list
ICT Authority Kenya,https://icta.go.ke,Kenya,Nairobi,Government / National ICT,Curated sector list
Kenya National Bureau of Statistics,https://knbs.or.ke,Kenya,Nairobi,Government / Official statistics,Curated sector list
Central Bank of Kenya,https://centralbank.go.ke,Kenya,Nairobi,Government / Financial data,Curated sector list
Communications Authority of Kenya,https://cak.go.ke,Kenya,Nairobi,Government regulator / Telecom data,Curated sector list
National Hospital Insurance Fund,https://nhif.or.ke,Kenya,Nairobi,Government / Health insurance systems,Curated sector list
The National Treasury Kenya,https://treasury.go.ke,Kenya,Nairobi,Government / Public finance data,Curated sector list
Nairobi City County,https://nairobi.go.ke,Kenya,Nairobi,County government / Public services data,Curated sector list
Kenya National Highways Authority,https://kenha.co.ke,Kenya,Nairobi,Government agency / Infrastructure data,Curated sector list
National Industrial Training Authority,https://nita.go.ke,Kenya,Nairobi,Government / Training and skills data,Curated sector list
Kenya Power,https://kplc.co.ke,Kenya,Nairobi,Utility / Energy data systems,Curated sector list
Wasoko,https://wasoko.com,Kenya,Nairobi,B2B e-commerce startup / Logistics tech,Curated sector list
Pezesha,https://pezesha.com,Kenya,Nairobi,Fintech startup / Embedded lending,Curated sector list
4G Capital,https://4g-capital.com,Kenya,Nairobi,Fintech / Micro-lending data,Curated sector list
Turaco,https://turaco.insure,Kenya,Nairobi,Insurtech startup,Curated sector list
Jumia Kenya,https://jumia.co.ke,Kenya,Nairobi,E-commerce / Marketplace data,Curated sector list
Little Cab,https://littlecab.com,Kenya,Nairobi,Ride-hailing / Mobility tech,Curated sector list
Glovo,https://glovoapp.com,Kenya,Nairobi,Delivery platform / Logistics data,Curated sector list
Bolt,https://bolt.eu,Kenya,Nairobi,Ride-hailing / Mobility data,Curated sector list
